epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,971.423,0.98857,0.52535,1.0841,0.96795,0.95575,0.99006,0.75666,0.84226,0.41483,0.97545,0.000820675,0.000820675,0.000820675
131,978.583,0.94294,0.50805,1.06862,0.95265,0.97625,0.98988,0.71078,0.8686,0.42096,0.9861,0.000815959,0.000815959,0.000815959
132,985.79,0.96142,0.51258,1.07774,0.96891,0.9646,0.9892,0.70267,0.89807,0.42876,0.99235,0.000811243,0.000811243,0.000811243
133,992.94,0.95624,0.51635,1.07401,0.9728,0.97092,0.98724,0.74285,0.85603,0.42088,0.98385,0.000806528,0.000806528,0.000806528
134,1000.08,0.94133,0.50942,1.05777,0.97459,0.96212,0.98877,0.76312,0.83758,0.41267,0.97454,0.000801812,0.000801812,0.000801812
135,1007.75,0.90578,0.48687,1.05313,0.97495,0.96597,0.9891,0.74777,0.83589,0.41078,0.97034,0.000797096,0.000797096,0.000797096
136,1015.56,0.92757,0.51456,1.0601,0.95814,0.95996,0.98655,0.74718,0.82086,0.40781,0.96788,0.00079238,0.00079238,0.00079238
137,1022.71,0.9366,0.5137,1.06088,0.95477,0.97379,0.98847,0.74362,0.82824,0.41127,0.96796,0.000787665,0.000787665,0.000787665
138,1029.87,0.88632,0.48632,1.0472,0.96753,0.98026,0.98918,0.75229,0.81745,0.39444,0.96403,0.000782949,0.000782949,0.000782949
139,1037.05,0.92692,0.49121,1.06658,0.9676,0.976,0.98868,0.75732,0.81858,0.39655,0.96436,0.000778233,0.000778233,0.000778233
140,1044.23,0.92003,0.49813,1.06201,0.96311,0.97618,0.99012,0.76774,0.81316,0.39493,0.96782,0.000773518,0.000773518,0.000773518
141,1051.61,0.91529,0.50186,1.08846,0.96473,0.98084,0.99047,0.77117,0.81406,0.39543,0.96476,0.000768802,0.000768802,0.000768802
142,1059.01,0.91184,0.51249,1.06657,0.97623,0.97154,0.99134,0.77273,0.79861,0.39243,0.96179,0.000764086,0.000764086,0.000764086
143,1066.35,0.89883,0.48688,1.05589,0.97339,0.97835,0.99203,0.77651,0.79753,0.38604,0.95746,0.000759371,0.000759371,0.000759371
144,1074.01,0.89798,0.48796,1.05629,0.97173,0.9787,0.99113,0.76037,0.79887,0.38839,0.9576,0.000754655,0.000754655,0.000754655
145,1081.2,0.88173,0.47575,1.04064,0.97283,0.97532,0.99108,0.77072,0.78229,0.38725,0.94865,0.000749939,0.000749939,0.000749939
146,1088.34,0.90242,0.48943,1.04682,0.97682,0.97566,0.99178,0.75793,0.79482,0.3856,0.95704,0.000745223,0.000745223,0.000745223
147,1095.56,0.90755,0.48637,1.06232,0.97105,0.97505,0.99282,0.77258,0.76887,0.37593,0.94573,0.000740508,0.000740508,0.000740508
148,1102.72,0.91142,0.49016,1.04821,0.97031,0.97024,0.98984,0.76992,0.7847,0.39308,0.95518,0.000735792,0.000735792,0.000735792
149,1109.81,0.88155,0.47565,1.04931,0.97387,0.96716,0.98923,0.74157,0.81767,0.41095,0.96202,0.000731076,0.000731076,0.000731076
150,1116.97,0.8968,0.47676,1.04652,0.9585,0.9758,0.98968,0.75323,0.80901,0.41465,0.95839,0.000726361,0.000726361,0.000726361
151,1124.13,0.85988,0.48215,1.02518,0.96517,0.96382,0.99055,0.76011,0.76383,0.40127,0.94606,0.000721645,0.000721645,0.000721645
152,1131.3,0.89269,0.47862,1.05298,0.97088,0.97442,0.99044,0.75577,0.77454,0.38108,0.94691,0.000716929,0.000716929,0.000716929
153,1138.48,0.89157,0.49124,1.04906,0.9722,0.97113,0.99151,0.78618,0.74913,0.37821,0.93698,0.000712214,0.000712214,0.000712214
154,1145.8,0.88584,0.48002,1.0451,0.96732,0.97608,0.99185,0.78311,0.74638,0.3781,0.93833,0.000707498,0.000707498,0.000707498
155,1152.91,0.87943,0.48232,1.04307,0.97225,0.97467,0.99199,0.7818,0.75509,0.37066,0.94096,0.000702782,0.000702782,0.000702782
156,1160.08,0.86852,0.46985,1.04674,0.96658,0.97029,0.99194,0.77983,0.74544,0.3711,0.9363,0.000698066,0.000698066,0.000698066
157,1167.33,0.8659,0.47913,1.03847,0.96732,0.97972,0.99207,0.77216,0.74884,0.37281,0.938,0.000693351,0.000693351,0.000693351
158,1174.48,0.8533,0.46955,1.02941,0.97304,0.97768,0.99258,0.78597,0.74412,0.36308,0.93721,0.000688635,0.000688635,0.000688635
159,1181.63,0.89387,0.45907,1.05222,0.9718,0.97849,0.99176,0.77767,0.74332,0.36826,0.93461,0.000683919,0.000683919,0.000683919
160,1188.78,0.84708,0.47287,1.02882,0.97148,0.97952,0.99133,0.78716,0.75293,0.3687,0.93701,0.000679204,0.000679204,0.000679204
161,1196.24,0.83684,0.45388,1.01925,0.97781,0.97516,0.9919,0.78383,0.72779,0.35987,0.92539,0.000674488,0.000674488,0.000674488
162,1203.43,0.84293,0.45389,1.03447,0.96439,0.97312,0.99102,0.79486,0.74441,0.36661,0.93121,0.000669772,0.000669772,0.000669772
163,1210.79,0.81754,0.4448,1.01506,0.97283,0.96599,0.99221,0.79956,0.7126,0.35226,0.92422,0.000665057,0.000665057,0.000665057
164,1218.27,0.84829,0.45485,1.0174,0.9834,0.96536,0.99257,0.80702,0.70854,0.35457,0.92287,0.000660341,0.000660341,0.000660341
165,1225.64,0.82227,0.44933,1.00764,0.97286,0.97044,0.99199,0.80326,0.70951,0.35425,0.92206,0.000655625,0.000655625,0.000655625
166,1232.82,0.85085,0.46411,1.0312,0.96935,0.97118,0.99178,0.79461,0.72383,0.37046,0.92582,0.000650909,0.000650909,0.000650909
167,1240.02,0.8689,0.46869,1.03628,0.97367,0.97008,0.99196,0.80222,0.70895,0.3564,0.92254,0.000646194,0.000646194,0.000646194
168,1247.17,0.8236,0.45085,1.02347,0.97508,0.98117,0.99263,0.80515,0.70406,0.34666,0.92158,0.000641478,0.000641478,0.000641478
169,1254.35,0.84149,0.46301,1.02693,0.97244,0.98164,0.99226,0.79129,0.72817,0.35785,0.92849,0.000636762,0.000636762,0.000636762
170,1261.53,0.82929,0.46482,1.02348,0.98202,0.97285,0.99267,0.80104,0.72305,0.35482,0.92486,0.000632047,0.000632047,0.000632047
171,1268.72,0.8667,0.4668,1.03923,0.98326,0.97718,0.99229,0.81111,0.70033,0.34981,0.92202,0.000627331,0.000627331,0.000627331
172,1276.14,0.86869,0.45618,1.03414,0.97743,0.97403,0.9921,0.80042,0.7022,0.34817,0.91802,0.000622615,0.000622615,0.000622615
173,1283.31,0.84097,0.44921,1.01784,0.97801,0.9774,0.99247,0.80943,0.71227,0.34954,0.92316,0.0006179,0.0006179,0.0006179
174,1290.51,0.82784,0.46456,1.0246,0.97939,0.9747,0.99295,0.81161,0.71216,0.34934,0.92089,0.000613184,0.000613184,0.000613184
175,1297.91,0.81454,0.44324,1.00908,0.97972,0.97013,0.99271,0.81636,0.6802,0.33986,0.91766,0.000608468,0.000608468,0.000608468
176,1305.28,0.81725,0.44379,1.02739,0.98094,0.9732,0.99228,0.81548,0.69604,0.34411,0.91879,0.000603752,0.000603752,0.000603752
177,1312.44,0.80374,0.44248,1.01148,0.97909,0.98227,0.99298,0.80704,0.68736,0.34178,0.91785,0.000599037,0.000599037,0.000599037
178,1319.65,0.81288,0.4441,1.01496,0.98149,0.97711,0.99299,0.81023,0.68328,0.33993,0.9153,0.000594321,0.000594321,0.000594321
179,1326.81,0.84302,0.44852,1.02984,0.98455,0.97203,0.99253,0.81347,0.6931,0.33949,0.91804,0.000589605,0.000589605,0.000589605
180,1333.99,0.81151,0.43732,1.00657,0.98333,0.97465,0.99274,0.8259,0.6835,0.33868,0.91746,0.00058489,0.00058489,0.00058489
181,1341.4,0.80545,0.4297,1.01138,0.98192,0.97721,0.9925,0.81139,0.69128,0.33704,0.91649,0.000580174,0.000580174,0.000580174
182,1348.57,0.83323,0.45199,1.01773,0.98036,0.97183,0.99177,0.80998,0.67678,0.34006,0.91521,0.000575458,0.000575458,0.000575458
