epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,768.861,0.83744,0.4953,1.15956,0.95971,0.96332,0.9899,0.79751,0.77146,0.40171,1.05408,0.0017624,0.0017624,0.0017624
122,775.166,0.84052,0.49425,1.16185,0.97419,0.95613,0.98995,0.7897,0.76953,0.41593,1.05804,0.00176042,0.00176042,0.00176042
123,781.113,0.85394,0.5009,1.15412,0.92578,0.96332,0.98463,0.78464,0.77203,0.42685,1.05228,0.00175844,0.00175844,0.00175844
124,787.024,0.80984,0.48802,1.12988,0.92194,0.91802,0.97689,0.77902,0.7841,0.43323,1.06914,0.00175646,0.00175646,0.00175646
125,792.918,0.81969,0.48768,1.14664,0.95484,0.96026,0.98725,0.78857,0.75522,0.41831,1.04493,0.00175448,0.00175448,0.00175448
126,798.814,0.82338,0.50844,1.14417,0.94342,0.93205,0.98052,0.76101,0.82358,0.45763,1.10656,0.0017525,0.0017525,0.0017525
127,804.683,0.81851,0.49169,1.14095,0.93581,0.92949,0.9797,0.76983,0.81363,0.43553,1.08352,0.00175052,0.00175052,0.00175052
128,810.603,0.79522,0.47415,1.11637,0.95169,0.96357,0.98715,0.7903,0.77995,0.41099,1.05334,0.00174854,0.00174854,0.00174854
129,816.533,0.83846,0.48205,1.16223,0.96206,0.95236,0.98832,0.78479,0.81073,0.41428,1.07955,0.00174656,0.00174656,0.00174656
130,822.456,0.82576,0.46332,1.14558,0.95445,0.95459,0.98848,0.78936,0.79728,0.41412,1.07132,0.00174458,0.00174458,0.00174458
131,828.374,0.82522,0.46622,1.14899,0.96913,0.96332,0.99163,0.81049,0.75361,0.40028,1.04759,0.0017426,0.0017426,0.0017426
132,834.524,0.83021,0.49872,1.15068,0.97167,0.95855,0.99179,0.78349,0.80592,0.41263,1.08753,0.00174062,0.00174062,0.00174062
133,840.388,0.82885,0.48488,1.16974,0.96394,0.95895,0.99024,0.79549,0.77364,0.40763,1.06878,0.00173864,0.00173864,0.00173864
134,846.308,0.85424,0.49101,1.16317,0.95684,0.9681,0.98872,0.78784,0.78045,0.40201,1.06984,0.00173666,0.00173666,0.00173666
135,852.252,0.81688,0.47058,1.13763,0.95111,0.95137,0.98716,0.78436,0.78599,0.41576,1.07894,0.00173468,0.00173468,0.00173468
136,858.221,0.82751,0.48178,1.1371,0.95508,0.95284,0.98744,0.79844,0.75634,0.40795,1.0541,0.0017327,0.0017327,0.0017327
137,864.121,0.80774,0.48215,1.13219,0.9628,0.94931,0.98873,0.78915,0.77231,0.40784,1.05389,0.00173072,0.00173072,0.00173072
138,869.993,0.81169,0.47037,1.13045,0.95632,0.96245,0.98916,0.7774,0.79559,0.4199,1.06678,0.00172874,0.00172874,0.00172874
139,875.929,0.80874,0.48426,1.15449,0.96736,0.96943,0.99111,0.78702,0.74434,0.39944,1.04006,0.00172676,0.00172676,0.00172676
140,881.854,0.83451,0.47755,1.16557,0.96117,0.97287,0.99047,0.81894,0.73266,0.37693,1.03544,0.00172478,0.00172478,0.00172478
141,888.181,0.84738,0.50169,1.1741,0.96653,0.96245,0.99104,0.81152,0.74227,0.37806,1.03631,0.0017228,0.0017228,0.0017228
142,894.136,0.83584,0.47706,1.1512,0.96377,0.96245,0.99024,0.8015,0.76649,0.39577,1.05863,0.00172082,0.00172082,0.00172082
143,900.034,0.83845,0.48129,1.14609,0.95076,0.94433,0.98412,0.75635,0.83551,0.44281,1.13223,0.00171884,0.00171884,0.00171884
144,905.96,0.79404,0.4627,1.12623,0.96592,0.97118,0.99084,0.79093,0.7825,0.40153,1.08191,0.00171686,0.00171686,0.00171686
145,912.002,0.80932,0.48652,1.12975,0.95903,0.96075,0.98932,0.77641,0.82544,0.43091,1.10191,0.00171488,0.00171488,0.00171488
146,917.972,0.80424,0.46982,1.14018,0.96724,0.94847,0.98692,0.80437,0.75216,0.39422,1.04779,0.0017129,0.0017129,0.0017129
147,923.904,0.78324,0.46536,1.12081,0.96498,0.93856,0.98771,0.79396,0.77654,0.41609,1.08236,0.00171092,0.00171092,0.00171092
148,929.812,0.77707,0.44892,1.11838,0.9648,0.9607,0.98914,0.8048,0.75115,0.38388,1.05786,0.00170894,0.00170894,0.00170894
149,935.736,0.7982,0.46738,1.13323,0.96071,0.96093,0.98832,0.81284,0.73716,0.37904,1.02911,0.00170696,0.00170696,0.00170696
150,941.671,0.78449,0.46151,1.11948,0.96356,0.97003,0.98972,0.81249,0.74257,0.38551,1.03548,0.00170498,0.00170498,0.00170498
151,947.574,0.79684,0.45814,1.12374,0.96848,0.96611,0.99088,0.8138,0.73081,0.36875,1.03012,0.001703,0.001703,0.001703
152,953.451,0.80019,0.46528,1.12714,0.95166,0.97031,0.99043,0.79741,0.7716,0.38337,1.05105,0.00170102,0.00170102,0.00170102
153,959.389,0.78147,0.45094,1.1125,0.9735,0.96233,0.99123,0.80951,0.7379,0.38606,1.02514,0.00169904,0.00169904,0.00169904
154,965.324,0.77338,0.44872,1.1112,0.9757,0.95983,0.99115,0.80631,0.74489,0.38581,1.02557,0.00169706,0.00169706,0.00169706
155,971.221,0.79901,0.44972,1.12139,0.96658,0.96332,0.98995,0.79647,0.77048,0.38832,1.05183,0.00169508,0.00169508,0.00169508
156,977.155,0.78648,0.44599,1.12867,0.95486,0.9607,0.98945,0.80511,0.75071,0.38457,1.0337,0.0016931,0.0016931,0.0016931
157,983.147,0.7957,0.46084,1.12752,0.95348,0.96245,0.98724,0.80997,0.73602,0.38997,1.02088,0.00169112,0.00169112,0.00169112
158,989.109,0.77815,0.45169,1.1212,0.96602,0.96821,0.99051,0.80222,0.74929,0.37884,1.04414,0.00168914,0.00168914,0.00168914
159,995.015,0.78446,0.45659,1.13527,0.96982,0.97293,0.99142,0.81153,0.73126,0.36983,1.02664,0.00168716,0.00168716,0.00168716
160,1000.92,0.78434,0.46025,1.11365,0.97036,0.97031,0.99078,0.8056,0.74237,0.37856,1.04843,0.00168518,0.00168518,0.00168518
161,1006.86,0.79811,0.46204,1.12878,0.97197,0.96895,0.99005,0.80585,0.7444,0.38304,1.04591,0.0016832,0.0016832,0.0016832
162,1012.71,0.78484,0.46073,1.11673,0.97703,0.96594,0.99189,0.80288,0.74948,0.37489,1.04886,0.00168122,0.00168122,0.00168122
163,1018.59,0.78158,0.45687,1.12097,0.971,0.96513,0.98979,0.79742,0.75722,0.3882,1.06112,0.00167924,0.00167924,0.00167924
164,1024.51,0.76617,0.45562,1.11108,0.97292,0.95895,0.99056,0.80181,0.74964,0.37593,1.05901,0.00167726,0.00167726,0.00167726
165,1030.44,0.77989,0.43839,1.11687,0.97548,0.97118,0.9918,0.80371,0.77481,0.38416,1.05282,0.00167528,0.00167528,0.00167528
166,1036.33,0.80285,0.46296,1.13465,0.97964,0.96594,0.99232,0.81388,0.74567,0.36804,1.04577,0.0016733,0.0016733,0.0016733
167,1042.21,0.76702,0.46013,1.11358,0.96778,0.93362,0.98411,0.78596,0.79426,0.41364,1.08638,0.00167132,0.00167132,0.00167132
168,1048.09,0.7716,0.43381,1.12598,0.96068,0.95197,0.98057,0.75166,0.85857,0.46088,1.14303,0.00166934,0.00166934,0.00166934
169,1053.97,0.75691,0.43361,1.09697,0.97923,0.95546,0.99046,0.78423,0.8024,0.40318,1.10267,0.00166736,0.00166736,0.00166736
170,1059.87,0.75458,0.43008,1.10968,0.95745,0.9629,0.98949,0.81028,0.74133,0.38011,1.05013,0.00166538,0.00166538,0.00166538
171,1065.76,0.76812,0.44026,1.11255,0.97551,0.97419,0.99012,0.82266,0.70963,0.35809,1.02206,0.0016634,0.0016634,0.0016634
172,1071.86,0.75579,0.43797,1.10115,0.96959,0.97471,0.9904,0.82039,0.73189,0.36238,1.03755,0.00166142,0.00166142,0.00166142
173,1077.75,0.76956,0.45041,1.10705,0.95742,0.97205,0.98989,0.80552,0.74651,0.38544,1.03323,0.00165944,0.00165944,0.00165944
174,1083.67,0.73569,0.43129,1.08331,0.96044,0.9753,0.99102,0.81583,0.72703,0.37595,1.02646,0.00165746,0.00165746,0.00165746
175,1089.59,0.7865,0.43494,1.09701,0.96972,0.97896,0.99162,0.82233,0.71991,0.36633,1.0139,0.00165548,0.00165548,0.00165548
176,1095.49,0.77146,0.44128,1.10865,0.96143,0.97963,0.99112,0.81205,0.73335,0.36375,1.02094,0.0016535,0.0016535,0.0016535
177,1101.45,0.76979,0.43344,1.09528,0.97047,0.97467,0.99177,0.81102,0.73528,0.36691,1.03617,0.00165152,0.00165152,0.00165152
178,1107.39,0.761,0.42808,1.10791,0.97052,0.95983,0.99096,0.81949,0.7171,0.36958,1.01413,0.00164954,0.00164954,0.00164954
179,1113.3,0.75176,0.43958,1.09906,0.96477,0.97642,0.9906,0.81679,0.70726,0.35709,1.01478,0.00164756,0.00164756,0.00164756
180,1119.26,0.76232,0.42636,1.11535,0.97238,0.96856,0.99202,0.81962,0.71111,0.35673,1.0166,0.00164558,0.00164558,0.00164558
181,1125.15,0.76497,0.44142,1.11642,0.97214,0.97524,0.99195,0.83176,0.68161,0.34514,0.99394,0.0016436,0.0016436,0.0016436
182,1131.32,0.75513,0.42646,1.09045,0.97276,0.9667,0.99234,0.82956,0.6931,0.35387,1.00202,0.00164162,0.00164162,0.00164162
183,1137.23,0.76437,0.43169,1.08663,0.96899,0.97293,0.9901,0.82723,0.68785,0.35065,0.98984,0.00163964,0.00163964,0.00163964
